mu,sigma,h0,L,t,liquid
0.01,0.042,0.001,0.024,,beet
0.01,0.042,0.0002,0.024,3.10155077538769,beet
0.01,0.042,0.000203,0.024,16.008004002001,beet
0.01,0.042,0.000207,0.024,3.70185092546273,beet
0.01,0.042,0.00021,0.024,3.50175087543772,beet
0.01,0.042,0.000213,0.024,200,beet
0.01,0.042,0.000217,0.024,200,beet
0.01,0.042,0.00022,0.024,200,beet
0.01,0.042,0.000224,0.024,200,beet
0.01,0.042,0.000228,0.024,200,beet
0.01,0.042,0.000232,0.024,200,beet
0.01,0.042,0.000235,0.024,200,beet
0.01,0.042,0.000239,0.024,200,beet
0.01,0.042,0.000243,0.024,200,beet
0.01,0.042,0.000247,0.024,186.093046523262,beet
0.01,0.042,0.000251,0.024,158.679339669835,beet
0.01,0.042,0.000255,0.024,135.667833916958,beet
0.01,0.042,0.000259,0.024,116.658329164582,beet
0.01,0.042,0.000264,0.024,97.9489744872436,beet
0.01,0.042,0.000268,0.024,85.4427213606803,beet
0.01,0.042,0.000272,0.024,74.6373186593297,beet
0.01,0.042,0.000277,0.024,63.7318659329665,beet
0.01,0.042,0.000281,0.024,56.328164082041,beet
0.01,0.042,0.000286,0.024,48.224112056028,beet
0.01,0.042,0.000291,0.024,41.7208604302151,beet
0.01,0.042,0.000295,0.024,37.2186093046523,beet
0.01,0.042,0.0003,0.024,32.216108054027,beet
0.01,0.042,0.000305,0.024,28.1140570285143,beet
0.01,0.042,0.00031,0.024,24.512256128064,beet
0.01,0.042,0.000315,0.024,21.4107053526763,beet
0.01,0.042,0.00032,0.024,18.7093546773387,beet
0.01,0.042,0.000326,0.024,16.1080540270135,beet
0.01,0.042,0.000331,0.024,14.1070535267634,beet
0.01,0.042,0.000336,0.024,12.4062031015508,beet
0.01,0.042,0.000342,0.024,10.7053526763382,beet
0.01,0.042,0.000348,0.024,9.20460230115057,beet
0.01,0.042,0.000353,0.024,8.10405202601301,beet
0.01,0.042,0.000359,0.024,7.00350175087544,beet
0.01,0.042,0.000365,0.024,6.00300150075038,beet
0.01,0.042,0.000371,0.024,5.10255127563782,beet
0.01,0.042,0.000377,0.024,4.40220110055028,beet
0.01,0.042,0.000383,0.024,3.70185092546273,beet
0.01,0.042,0.000389,0.024,3.10155077538769,beet
0.01,0.042,0.000396,0.024,2.50125062531266,beet
0.01,0.042,0.000402,0.024,1.90095047523762,beet
0.01,0.042,0.000409,0.024,,beet
0.01,0.042,0.000416,0.024,,beet
0.01,0.042,0.000422,0.024,,beet
0.01,0.042,0.000429,0.024,,beet
0.01,0.042,0.000436,0.024,,beet
0.01,0.042,0.000444,0.024,,beet
