h0,h,liquid
0.2,,water
0.203,,water
0.207,,water
0.21000000000000002,,water
0.213,,water
0.217,,water
0.22,,water
0.224,,water
0.228,,water
0.232,,water
0.235,,water
0.23900000000000002,0.0301717614706986,water
0.243,0.0313855211143674,water
0.247,0.0329089331773125,water
0.251,0.0353359733149073,water
0.255,0.0372985930741646,water
0.259,0.0385066685040147,water
0.264,0.0418363520020948,water
0.268,0.0438412313025392,water
0.272,0.0454488183097956,water
0.277,0.0492051437021433,water
0.281,0.0510470891586905,water
0.28600000000000003,0.0539282835476957,water
0.29100000000000004,0.0575577759305823,water
0.29500000000000004,0.059572769365664,water
0.3,0.0637873007666873,water
0.305,0.0664741111171337,water
0.31,0.0706664595151198,water
0.315,0.0738422970929169,water
0.32,0.0781098211815366,water
0.326,0.08243550764404,water
0.331,0.0869599752206014,water
0.33599999999999997,0.0908384240004803,water
0.342,0.0962512349611361,water
0.348,0.1019921202873187,water
0.35300000000000004,0.1061219867169508,water
0.359,0.1120065220637223,water
0.365,0.1182585394895392,water
0.371,0.1239476078079142,water
0.377,0.130074796064613,water
0.383,0.1365699313065101,water
0.389,0.1432346782813205,water
0.39599999999999996,0.1509275275123928,water
0.402,0.1574081354824107,water
0.40900000000000003,0.1652681654599373,water
0.416,0.1732590195025614,water
0.422,0.180099620833742,water
0.429,0.1881738903439151,water
0.43600000000000005,0.196323696127035,water
0.444,0.2056532930193876,water
0.451,0.213697331576204,water
0.458,0.2217078581862233,water
0.46599999999999997,0.2305988594604996,water
0.47300000000000003,0.2384086918208837,water
0.481,0.2471670516424756,water
0.48899999999999993,0.2558879968284991,water
0.49700000000000005,0.2643103972411437,water
0.505,0.2726083237893167,water
0.513,0.2806730536541002,water
0.522,0.2895059829153562,water
0.53,0.2970349051836366,water
0.539,0.3054033282940253,water
0.5479999999999999,0.3132823060601674,water
0.5569999999999999,0.3207496680758733,water
0.566,,water
0.575,,water
0.585,,water
0.594,,water
0.6040000000000001,,water
0.614,,water
0.624,,water
0.634,,water
0.6449999999999999,,water
0.655,,water
0.666,,water
0.6769999999999999,,water
0.6880000000000001,,water
0.699,,water
0.7110000000000001,,water
0.722,,water
0.734,,water
0.746,,water
0.759,,water
0.771,,water
0.784,,water
0.796,,water
0.809,,water
0.823,,water
0.8360000000000001,,water
0.85,,water
0.864,,water
0.878,,water
0.892,,water
0.907,,water
0.9219999999999999,,water
0.937,,water
0.9520000000000001,,water
0.968,,water
0.9840000000000001,,water
1.0,,water
0.2,,beet
0.203,,beet
0.207,,beet
0.21000000000000002,,beet
0.213,,beet
0.217,0.0338205894019617,beet
0.22,0.0369466238528437,beet
0.224,0.0426580758751417,beet
0.228,0.0439172131231776,beet
0.232,0.0446492865214945,beet
0.235,0.0459414008389762,beet
0.23900000000000002,0.0486406746556402,beet
0.243,0.05220747445593,beet
0.247,0.0533552270682961,beet
0.251,0.0544856291747136,beet
0.255,0.0561793436433687,beet
0.259,0.0584639904601539,beet
0.264,0.0622802784074246,beet
0.268,0.0649836413685223,beet
0.272,0.0662766978617175,beet
0.277,0.0684161795283226,beet
0.281,0.0707496788417739,beet
0.28600000000000003,0.0742730971011035,beet
0.29100000000000004,0.0779656924836278,beet
0.29500000000000004,0.0792441898273789,beet
0.3,0.0816783772175224,beet
0.305,0.084741345966851,beet
0.31,0.0884180010525434,beet
0.315,0.0916924814591547,beet
0.32,0.0941131067774773,beet
0.326,0.0977071423635339,beet
0.331,0.1013499735401792,beet
0.33599999999999997,0.1053895319701199,beet
0.342,0.1084204322532858,beet
0.348,0.112212700243811,beet
0.35300000000000004,0.116024780973039,beet
0.359,0.1207643786190652,beet
0.365,0.1243217076945642,beet
0.371,0.1285580760866176,beet
