Temperature,Peltier,Sensor
21.6,0.1,-164
21.7,0.2,-161
21.1,0.3,-155
20.7,0.4,-149
20.4,0.5,-143
20.1,0.6,-137
19.7,0.7,-133
19.2,0.8,-127
18.6,0.9,-122
18.1,1.0,-117
17.7,1.1,-104
17.5,1.2,-99
17.1,1.3,-93
16.8,1.4,-86
16.5,1.5,-81
15.7,1.6,-74
15.3,1.7,-69
14.2,1.8,-63
13.6,1.9,-57
12.9,2.0,-51
12.4,2.1,-47
11.5,2.2,-39
10.8,2.3,-33
10.1,2.4,-27
9.1,2.5,-22
8.3,2.6,-15
7.5,2.7,-8
6.7,2.8,-2
6.2,2.9,3
5.6,3.0,10
5.0,3.1,15
4.5,3.2,21
3.5,3.3,27
3.2,3.4,32
2.5,3.5,36
1.8,3.6,41
1.5,3.7,46
1.0,3.8,51
0.8,3.9,55
0.4,4.0,60
